Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
42384998400;191;40007999488;551000000;37376999424
42390999040;234;39356998400;10167999808;35913998336
43000000000;300;30500000000;500000000;20000000000
43000000000;150;21563000000;6000000000;16000000000
43022999552;119;40448001280;1747000000;37075001344
43093999616;154;31740001024;1414999936;30000001024
43551997952;3125;30214000640;12300000256;3374000128
43750000000;250;15780000000;0;13000000000
44000000000;130;8000000000;12000000000;
44144000000;334;30407600000;1,3E+11;17657600000
44232998912;1256;29779999744;1760000000;10355999744
44257001472;453;32177999104;198000000;28004999168
44385001472;220;40300998656;12344000512;35329998848
44650000000;80;38088000000;10000000000;29150000000
44770000000;15;34750000000;0;28550000000
44798001152;320;37158999040;33999998976;28317999104
44999999488;450;39340997888;2100000000;35999997952
45000000000;100;33100000000;0;22000000000
45000000000;80;20550000000;520000000;17000000000
45000000000;180;8400000000;7000000000;
45000000000;130;39000000000;0;20000000000
45000000000;25;536000000;30000000000;
45000000000;200;28850000000;7000000000;12200000000
45000000000;9;1210000000;0;108000000
45000000000;5;0;0;
45000000000;10;250000000;0;
45000000000;25;34712000000;0;32000000000
45000000000;140;10500000000;3000000000;
45000000000;30;780000000;3000000000;
45224001536;334;38200000000;120000;32000000000
45290000384;2000;37477999104;10999999744;7855000064
45395001344;23;44490000576;1728000000;44159000576
45517000704;110;26194000896;0;20923000832
45620000000;10;150000000;0;
45800000000;190;10700000000;2300000000;
45869998080;120;35286000640;3916000000;32550000640
46000000000;110;13480000000;0;
46000000000;10;1000000000;0;
46000000000;38;2000000000;50000000;
46063001600;995;31056999424;6139739904;19300999168
46405001216;80;42788998528;991000000;41054998528
46490001408;550;43386998272;1017000000;40386998272
46999998464;220;37499998976;8819999744;33999998976
46999998464;1682;31395000832;1431000064;4480999936
47000000000;80;39300000000;3500000000;36000000000
47000000000;98;35490000000;160000000;32000000000
